,Height,lat,lon,IIiii,RR
0,34,30.833333333333332,120.91666666666667,58451,48
1,34,30.833333333333332,120.91666666666667,58451,35
2,34,30.833333333333332,120.91666666666667,58451,26
3,34,30.833333333333332,120.91666666666667,58451,22
4,34,30.833333333333332,120.91666666666667,58451,14
5,34,30.833333333333332,120.91666666666667,58451,67
6,34,30.833333333333332,120.91666666666667,58451,4
7,1030,30.533333333333335,119.98333333333333,58454,10
8,1030,30.533333333333335,119.98333333333333,58454,57
9,1030,30.533333333333335,119.98333333333333,58454,13
10,1030,30.533333333333335,119.98333333333333,58454,74
11,1030,30.533333333333335,119.98333333333333,58454,63
12,1030,30.533333333333335,119.98333333333333,58454,52
13,1030,30.533333333333335,119.98333333333333,58454,30
14,00140,30.316666666666666,121.95,58469,77
15,00140,30.316666666666666,121.95,58469,35
16,00140,30.316666666666666,121.95,58469,21
17,00140,30.316666666666666,121.95,58469,89
18,00140,30.316666666666666,121.95,58469,50
19,00140,30.316666666666666,121.95,58469,12
20,00140,30.316666666666666,121.95,58469,213
21,00820,30.183333333333334,122.68333333333334,58487,117
22,00820,30.183333333333334,122.68333333333334,58487,41
23,00820,30.183333333333334,122.68333333333334,58487,111
24,00820,30.183333333333334,122.68333333333334,58487,47
25,00820,30.183333333333334,122.68333333333334,58487,9
26,00820,30.183333333333334,122.68333333333334,58487,1
27,00820,30.183333333333334,122.68333333333334,58487,8
28,876,29.316666666666666,120.06666666666666,58557,67
29,876,29.316666666666666,120.06666666666666,58557,16
30,876,29.316666666666666,120.06666666666666,58557,12
31,876,29.316666666666666,120.06666666666666,58557,25
32,876,29.316666666666666,120.06666666666666,58557,25
33,876,29.316666666666666,120.06666666666666,58557,9
34,876,29.316666666666666,120.06666666666666,58557,31
35,346,27.633333333333333,121.2,58765,47
36,346,27.633333333333333,121.2,58765,2
37,346,27.633333333333333,121.2,58765,3
38,346,27.633333333333333,121.2,58765,15
39,346,27.633333333333333,121.2,58765,13
40,346,27.633333333333333,121.2,58765,20
41,346,27.633333333333333,121.2,58765,17
42,66,30.05,121.16666666666667,58468,93
43,66,30.05,121.16666666666667,58468,134
44,66,30.05,121.16666666666667,58468,70
45,66,30.05,121.16666666666667,58468,57
46,66,30.05,121.16666666666667,58468,76
47,66,30.05,121.16666666666667,58468,29
48,66,30.05,121.16666666666667,58468,35
49,467,29.216666666666665,119.46666666666667,58548,25
50,467,29.216666666666665,119.46666666666667,58548,30
51,467,29.216666666666665,119.46666666666667,58548,27
52,467,29.216666666666665,119.46666666666667,58548,14
53,467,29.216666666666665,119.46666666666667,58548,5
54,467,29.216666666666665,119.46666666666667,58548,25
55,467,29.216666666666665,119.46666666666667,58548,114
56,994,28.9,120.03333333333333,58643,9
57,994,28.9,120.03333333333333,58643,16
58,994,28.9,120.03333333333333,58643,24
59,994,28.9,120.03333333333333,58643,13
60,994,28.9,120.03333333333333,58643,20
61,994,28.9,120.03333333333333,58643,8
62,994,28.9,120.03333333333333,58643,1
63,364,28.15,120.68333333333334,58658,28
64,364,28.15,120.68333333333334,58658,28
65,364,28.15,120.68333333333334,58658,53
66,364,28.15,120.68333333333334,58658,102
67,364,28.15,120.68333333333334,58658,113
68,364,28.15,120.68333333333334,58658,72
69,364,28.15,120.68333333333334,58658,64
70,750,28.260317,121.616252,58669,20
71,750,28.260317,121.616252,58669,42
72,750,28.260317,121.616252,58669,91
73,750,28.260317,121.616252,58669,121
74,750,28.260317,121.616252,58669,221
75,750,28.260317,121.616252,58669,85
76,750,28.260317,121.616252,58669,34
77,00050,30.166666666666668,120.88333333333334,58554,36
78,00050,30.166666666666668,120.88333333333334,58554,36
79,00050,30.166666666666668,120.88333333333334,58554,41
80,00050,30.166666666666668,120.88333333333334,58554,13
81,00050,30.166666666666668,120.88333333333334,58554,16
82,00050,30.166666666666668,120.88333333333334,58554,128
83,00050,30.166666666666668,120.88333333333334,58554,90
84,72,29.8,121.5,58562,18
85,72,29.8,121.5,58562,65
86,72,29.8,121.5,58562,154
87,72,29.8,121.5,58562,71
88,72,29.8,121.5,58562,139
89,72,29.8,121.5,58562,46
90,72,29.8,121.5,58562,114
91,60,29.883333333333333,121.83333333333333,58563,130
92,60,29.883333333333333,121.83333333333333,58563,19
93,60,29.883333333333333,121.83333333333333,58563,84
94,60,29.883333333333333,121.83333333333333,58563,97
95,60,29.883333333333333,121.83333333333333,58563,122
96,60,29.883333333333333,121.83333333333333,58563,500
97,60,29.883333333333333,121.83333333333333,58563,42
98,404,29.316666666666666,121.43333333333334,58567,51
99,404,29.316666666666666,121.43333333333334,58567,228
100,404,29.316666666666666,121.43333333333334,58567,307
101,404,29.316666666666666,121.43333333333334,58567,222
102,404,29.316666666666666,121.43333333333334,58567,311
103,404,29.316666666666666,121.43333333333334,58567,149
104,404,29.316666666666666,121.43333333333334,58567,133
105,13834,28.80972,120.9222,58653,275
106,13834,28.80972,120.9222,58653,300
107,13834,28.80972,120.9222,58653,346
108,13834,28.80972,120.9222,58653,510
109,13834,28.80972,120.9222,58653,789
110,13834,28.80972,120.9222,58653,815
111,13834,28.80972,120.9222,58653,368
112,3687,27.616666666666667,119.08333333333333,58745,1
113,3687,27.616666666666667,119.08333333333333,58745,22
114,3687,27.616666666666667,119.08333333333333,58745,2
115,3687,27.616666666666667,119.08333333333333,58745,16
116,3687,27.616666666666667,119.08333333333333,58745,0
117,3687,27.616666666666667,119.08333333333333,58745,1
118,3687,27.616666666666667,119.08333333333333,58745,0
119,02550,27.666666666666668,120.56666666666666,58751,0
120,02550,27.666666666666668,120.56666666666666,58751,0
121,02550,27.666666666666668,120.56666666666666,58751,0
122,02550,27.666666666666668,120.56666666666666,58751,1
123,02550,27.666666666666668,120.56666666666666,58751,3
124,02550,27.666666666666668,120.56666666666666,58751,0
125,02550,27.666666666666668,120.56666666666666,58751,1
126,427,29.7,121.38333333333334,58565,17
127,427,29.7,121.38333333333334,58565,54
128,427,29.7,121.38333333333334,58565,36
129,427,29.7,121.38333333333334,58565,48
130,427,29.7,121.38333333333334,58565,116
131,427,29.7,121.38333333333334,58565,103
132,427,29.7,121.38333333333334,58565,91
133,1343,28.9,118.5,58631,4
134,1343,28.9,118.5,58631,34
135,1343,28.9,118.5,58631,17
136,1343,28.9,118.5,58631,1
137,1343,28.9,118.5,58631,75
138,1343,28.9,118.5,58631,20
139,1343,28.9,118.5,58631,4
140,362,28.37278,121.35889,58664,186
141,362,28.37278,121.35889,58664,288
142,362,28.37278,121.35889,58664,203
143,362,28.37278,121.35889,58664,295
144,362,28.37278,121.35889,58664,100
145,362,28.37278,121.35889,58664,195
146,362,28.37278,121.35889,58664,346
147,00450,27.166666666666668,120.48333333333333,58758,10
148,00450,27.166666666666668,120.48333333333333,58758,2
149,00450,27.166666666666668,120.48333333333333,58758,0
150,00450,27.166666666666668,120.48333333333333,58758,1
151,00450,27.166666666666668,120.48333333333333,58758,52
152,00450,27.166666666666668,120.48333333333333,58758,27
153,00450,27.166666666666668,120.48333333333333,58758,1
154,78,30.85,120.08333333333333,58450,35
155,78,30.85,120.08333333333333,58450,11
156,78,30.85,120.08333333333333,58450,28
157,78,30.85,120.08333333333333,58450,64
158,78,30.85,120.08333333333333,58450,9
159,78,30.85,120.08333333333333,58450,10
160,78,30.85,120.08333333333333,58450,31
161,67,30.633333333333333,120.51666666666667,58456,6
162,67,30.633333333333333,120.51666666666667,58456,20
163,67,30.633333333333333,120.51666666666667,58456,20
164,67,30.633333333333333,120.51666666666667,58456,28
165,67,30.633333333333333,120.51666666666667,58456,19
166,67,30.633333333333333,120.51666666666667,58456,47
167,67,30.633333333333333,120.51666666666667,58456,116
168,00180,30.25,122.08333333333333,58478,170
169,00180,30.25,122.08333333333333,58478,4
170,00180,30.25,122.08333333333333,58478,20
171,00180,30.25,122.08333333333333,58478,53
172,00180,30.25,122.08333333333333,58478,7
173,00180,30.25,122.08333333333333,58478,7
174,00180,30.25,122.08333333333333,58478,2
175,64,30.05,120.81666666666666,58553,176
176,64,30.05,120.81666666666666,58553,38
177,64,30.05,120.81666666666666,58553,29
178,64,30.05,120.81666666666666,58553,31
179,64,30.05,120.81666666666666,58553,41
180,64,30.05,120.81666666666666,58553,43
181,64,30.05,120.81666666666666,58553,16
182,3013,29.05,120.43333333333334,58560,62
183,3013,29.05,120.43333333333334,58560,64
184,3013,29.05,120.43333333333334,58560,86
185,3013,29.05,120.43333333333334,58560,72
186,3013,29.05,120.43333333333334,58560,84
187,3013,29.05,120.43333333333334,58560,104
188,3013,29.05,120.43333333333334,58560,96
189,75,28.87389,121.19278,58660,118
190,75,28.87389,121.19278,58660,192
191,75,28.87389,121.19278,58660,191
192,75,28.87389,121.19278,58660,234
193,75,28.87389,121.19278,58660,198
194,75,28.87389,121.19278,58660,143
195,75,28.87389,121.19278,58660,136
196,65,30.2,121.3,58467,253
197,65,30.2,121.3,58467,83
198,65,30.2,121.3,58467,122
199,65,30.2,121.3,58467,72
200,65,30.2,121.3,58467,35
201,65,30.2,121.3,58467,85
202,65,30.2,121.3,58467,97
203,01256,30.733333333333334,122.81666666666666,58473,12
204,01256,30.733333333333334,122.81666666666666,58473,0
205,01256,30.733333333333334,122.81666666666666,58473,32
206,01256,30.733333333333334,122.81666666666666,58473,43
207,01256,30.733333333333334,122.81666666666666,58473,1
208,01256,30.733333333333334,122.81666666666666,58473,0
209,01256,30.733333333333334,122.81666666666666,58473,11
210,1142,29.466666666666665,119.88333333333334,58546,71
211,1142,29.466666666666665,119.88333333333334,58546,12
212,1142,29.466666666666665,119.88333333333334,58546,20
213,1142,29.466666666666665,119.88333333333334,58546,34
214,1142,29.466666666666665,119.88333333333334,58546,18
215,1142,29.466666666666665,119.88333333333334,58546,8
216,1142,29.466666666666665,119.88333333333334,58546,63
217,830,29.95,122.3,58570,7
218,830,29.95,122.3,58570,36
219,830,29.95,122.3,58570,49
220,830,29.95,122.3,58570,138
221,830,29.95,122.3,58570,25
222,830,29.95,122.3,58570,19
223,830,29.95,122.3,58570,52
224,1849,28.666666666666668,120.08333333333333,58654,74
225,1849,28.666666666666668,120.08333333333333,58654,33
226,1849,28.666666666666668,120.08333333333333,58654,29
227,1849,28.666666666666668,120.08333333333333,58654,24
228,1849,28.666666666666668,120.08333333333333,58654,23
229,1849,28.666666666666668,120.08333333333333,58654,52
230,1849,28.666666666666668,120.08333333333333,58654,26
231,00618,28.066666666666666,120.96666666666667,58656,51
232,00618,28.066666666666666,120.96666666666667,58656,116
233,00618,28.066666666666666,120.96666666666667,58656,56
234,00618,28.066666666666666,120.96666666666667,58656,111
235,00618,28.066666666666666,120.96666666666667,58656,138
236,00618,28.066666666666666,120.96666666666667,58656,91
237,00618,28.066666666666666,120.96666666666667,58656,63
238,46,30.733333333333334,120.75,58452,48
239,46,30.733333333333334,120.75,58452,46
240,46,30.733333333333334,120.75,58452,20
241,46,30.733333333333334,120.75,58452,12
242,46,30.733333333333334,120.75,58452,18
243,46,30.733333333333334,120.75,58452,47
244,46,30.733333333333334,120.75,58452,7
245,107,30.066666666666666,120.5,58453,158
246,107,30.066666666666666,120.5,58453,40
247,107,30.066666666666666,120.5,58453,8
248,107,30.066666666666666,120.5,58453,35
249,107,30.066666666666666,120.5,58453,6
250,107,30.066666666666666,120.5,58453,35
251,107,30.066666666666666,120.5,58453,132
252,367,30.033333333333335,122.1,58477,36
253,367,30.033333333333335,122.1,58477,36
254,367,30.033333333333335,122.1,58477,119
255,367,30.033333333333335,122.1,58477,71
256,367,30.033333333333335,122.1,58477,118
257,367,30.033333333333335,122.1,58477,62
258,367,30.033333333333335,122.1,58477,216
259,394,29.7,120.25,58550,42
260,394,29.7,120.25,58550,1
261,394,29.7,120.25,58550,36
262,394,29.7,120.25,58550,26
263,394,29.7,120.25,58550,21
264,394,29.7,120.25,58550,12
265,394,29.7,120.25,58550,220
266,1088,29.15278,120.97056,58559,95
267,1088,29.15278,120.97056,58559,164
268,1088,29.15278,120.97056,58559,82
269,1088,29.15278,120.97056,58559,99
270,1088,29.15278,120.97056,58559,57
271,1088,29.15278,120.97056,58559,120
272,1088,29.15278,120.97056,58559,75
273,5142,27.55,119.7,58746,1
274,5142,27.55,119.7,58746,0
275,5142,27.55,119.7,58746,0
276,5142,27.55,119.7,58746,0
277,5142,27.55,119.7,58746,0
278,5142,27.55,119.7,58746,0
279,5142,27.55,119.7,58746,13
280,00010,27.55,121.4,58768,45
281,00010,27.55,121.4,58768,0
282,00010,27.55,121.4,58768,12
283,00010,27.55,121.4,58768,14
284,00010,27.55,121.4,58768,0
285,00010,27.55,121.4,58768,26
286,00010,27.55,121.4,58768,29
287,732,30.633333333333333,119.7,58446,28
288,732,30.633333333333333,119.7,58446,41
289,732,30.633333333333333,119.7,58446,83
290,732,30.633333333333333,119.7,58446,67
291,732,30.633333333333333,119.7,58446,52
292,732,30.633333333333333,119.7,58446,22
293,732,30.633333333333333,119.7,58446,45
294,1350,30.3,119.73333333333333,58448,46
295,1350,30.3,119.73333333333333,58448,35
296,1350,30.3,119.73333333333333,58448,180
297,1350,30.3,119.73333333333333,58448,33
298,1350,30.3,119.73333333333333,58448,27
299,1350,30.3,119.73333333333333,58448,98
300,1350,30.3,119.73333333333333,58448,10
301,124,30.25,122.2,58484,302
302,124,30.25,122.2,58484,8
303,124,30.25,122.2,58484,84
304,124,30.25,122.2,58484,107
305,124,30.25,122.2,58484,20
306,124,30.25,122.2,58484,20
307,124,30.25,122.2,58484,5
308,872,29.483333333333334,119.26666666666667,58544,22
309,872,29.483333333333334,119.26666666666667,58544,35
310,872,29.483333333333334,119.26666666666667,58544,17
311,872,29.483333333333334,119.26666666666667,58544,19
312,872,29.483333333333334,119.26666666666667,58544,40
313,872,29.483333333333334,119.26666666666667,58544,16
314,872,29.483333333333334,119.26666666666667,58544,18
315,614,29.116666666666667,119.65,58549,85
316,614,29.116666666666667,119.65,58549,5
317,614,29.116666666666667,119.65,58549,19
318,614,29.116666666666667,119.65,58549,40
319,614,29.116666666666667,119.65,58549,29
320,614,29.116666666666667,119.65,58549,14
321,614,29.116666666666667,119.65,58549,6
322,1026,28.883333333333333,119.8,58642,25
323,1026,28.883333333333333,119.8,58642,40
324,1026,28.883333333333333,119.8,58642,55
325,1026,28.883333333333333,119.8,58642,61
326,1026,28.883333333333333,119.8,58642,101
327,1026,28.883333333333333,119.8,58642,53
328,1026,28.883333333333333,119.8,58642,41
329,00610,29.0131,121.7056,58662,62
330,00610,29.0131,121.7056,58662,49
331,00610,29.0131,121.7056,58662,39
332,00610,29.0131,121.7056,58662,51
333,00610,29.0131,121.7056,58662,17
334,00610,29.0131,121.7056,58662,52
335,00610,29.0131,121.7056,58662,29
336,00970,28.71889,121.9156,58663,114
337,00970,28.71889,121.9156,58663,61
338,00970,28.71889,121.9156,58663,38
339,00970,28.71889,121.9156,58663,15
340,00970,28.71889,121.9156,58663,8
341,00970,28.71889,121.9156,58663,9
342,00970,28.71889,121.9156,58663,53
343,00710,27.466666666666665,121.08333333333333,58764,21
344,00710,27.466666666666665,121.08333333333333,58764,8
345,00710,27.466666666666665,121.08333333333333,58764,12
346,00710,27.466666666666665,121.08333333333333,58764,1
347,00710,27.466666666666665,121.08333333333333,58764,17
348,00710,27.466666666666665,121.08333333333333,58764,0
349,00710,27.466666666666665,121.08333333333333,58764,13
350,198,31.016666666666666,119.9,58443,70
351,198,31.016666666666666,119.9,58443,28
352,198,31.016666666666666,119.9,58443,36
353,198,31.016666666666666,119.9,58443,90
354,198,31.016666666666666,119.9,58443,33
355,198,31.016666666666666,119.9,58443,12
356,198,31.016666666666666,119.9,58443,13
357,479,30.05,119.95,58449,55
358,479,30.05,119.95,58449,86
359,479,30.05,119.95,58449,153
360,479,30.05,119.95,58449,41
361,479,30.05,119.95,58449,44
